date,port,cargo_type,historical_demand,inventory,import_volume,commodity_price,production_index,seasonality,port_traffic,demand
2018-01-01,Visakhapatnam,Coal,210719,90669,219321,106.6,103.0,0.925,52,235852
2018-01-01,Visakhapatnam,Iron Ore,152682,56512,163749,106.6,103.0,0.925,49,176921
2018-01-01,Paradip,Coal,225584,94398,215760,106.6,103.0,0.925,55,256594
2018-01-01,Paradip,Iron Ore,176910,66146,154332,106.6,103.0,0.925,55,194630
2018-01-01,Chennai,Coal,139321,45652,143848,106.6,103.0,0.925,37,163455
2018-01-01,Chennai,Iron Ore,108122,44414,104934,106.6,103.0,0.925,34,123474
2018-01-01,Kamarajar,Coal,154603,53796,136665,106.6,103.0,0.925,40,174567
2018-01-01,Kamarajar,Iron Ore,122584,54651,126929,106.6,103.0,0.925,34,139307
2018-01-01,Haldia,Coal,113380,45459,105627,106.6,103.0,0.925,26,116540
2018-01-01,Haldia,Iron Ore,102107,30971,90596,106.6,103.0,0.925,30,113243
2018-02-01,Visakhapatnam,Coal,212478,89646,184504,111.4,99.1,1.0,57,218889
2018-02-01,Visakhapatnam,Iron Ore,176058,54012,189028,111.4,99.1,1.0,54,191687
2018-02-01,Paradip,Coal,229310,98307,198469,111.4,99.1,1.0,60,238307
2018-02-01,Paradip,Iron Ore,182646,79731,178813,111.4,99.1,1.0,49,202852
2018-02-01,Chennai,Coal,157259,62957,169559,111.4,99.1,1.0,36,179678
2018-02-01,Chennai,Iron Ore,114219,47509,118376,111.4,99.1,1.0,37,126970
2018-02-01,Kamarajar,Coal,178474,69460,170252,111.4,99.1,1.0,34,187445
2018-02-01,Kamarajar,Iron Ore,132905,53645,128566,111.4,99.1,1.0,40,148675
2018-02-01,Haldia,Coal,130597,47266,136679,111.4,99.1,1.0,26,143117
2018-02-01,Haldia,Iron Ore,120445,50517,109641,111.4,99.1,1.0,31,124816
2018-03-01,Visakhapatnam,Coal,243036,87841,250800,136.9,98.0,1.075,55,267016
2018-03-01,Visakhapatnam,Iron Ore,200490,78107,191546,136.9,98.0,1.075,47,209480
2018-03-01,Paradip,Coal,247760,105120,265248,136.9,98.0,1.075,57,264556
2018-03-01,Paradip,Iron Ore,218143,92626,236301,136.9,98.0,1.075,63,235305
2018-03-01,Chennai,Coal,189255,69894,176526,136.9,98.0,1.075,44,200592
2018-03-01,Chennai,Iron Ore,131905,58431,135065,136.9,98.0,1.075,38,142856
2018-03-01,Kamarajar,Coal,174124,54082,178272,136.9,98.0,1.075,42,193099
2018-03-01,Kamarajar,Iron Ore,135329,41610,125528,136.9,98.0,1.075,38,148809
2018-03-01,Haldia,Coal,137211,47784,143189,136.9,98.0,1.075,29,146807
2018-03-01,Haldia,Iron Ore,116555,46995,113433,136.9,98.0,1.075,35,130875
2018-04-01,Visakhapatnam,Coal,252020,82797,230590,109.9,103.1,1.13,46,290964
2018-04-01,Visakhapatnam,Iron Ore,188407,65019,171853,109.9,103.1,1.13,53,210843
2018-04-01,Paradip,Coal,277046,94427,260894,109.9,103.1,1.13,58,316065
2018-04-01,Paradip,Iron Ore,210230,89770,202677,109.9,103.1,1.13,52,232470
2018-04-01,Chennai,Coal,174735,69967,189217,109.9,103.1,1.13,35,191678
2018-04-01,Chennai,Iron Ore,143923,47989,129305,109.9,103.1,1.13,38,158380
2018-04-01,Kamarajar,Coal,204270,85975,192620,109.9,103.1,1.13,45,222749
2018-04-01,Kamarajar,Iron Ore,153193,67858,160741,109.9,103.1,1.13,39,169439
2018-04-01,Haldia,Coal,140871,48265,150299,109.9,103.1,1.13,31,163203
2018-04-01,Haldia,Iron Ore,127446,41906,127383,109.9,103.1,1.13,28,139336
2018-05-01,Visakhapatnam,Coal,248296,110849,259771,116.4,98.7,1.15,58,269601
2018-05-01,Visakhapatnam,Iron Ore,195222,82499,196287,116.4,98.7,1.15,48,217187
2018-05-01,Paradip,Coal,275200,96072,284697,116.4,98.7,1.15,56,301985
2018-05-01,Paradip,Iron Ore,220658,66670,203095,116.4,98.7,1.15,54,241589
2018-05-01,Chennai,Coal,193019,80463,209316,116.4,98.7,1.15,35,204169
2018-05-01,Chennai,Iron Ore,151275,50681,148466,116.4,98.7,1.15,36,168850
2018-05-01,Kamarajar,Coal,193507,67726,204350,116.4,98.7,1.15,44,219726
2018-05-01,Kamarajar,Iron Ore,146705,64877,127277,116.4,98.7,1.15,41,165152
2018-05-01,Haldia,Coal,153482,67392,150499,116.4,98.7,1.15,31,157123
2018-05-01,Haldia,Iron Ore,129808,45330,125401,116.4,98.7,1.15,36,138704
2018-06-01,Visakhapatnam,Coal,240075,73005,254675,115.3,97.9,1.13,46,263381
2018-06-01,Visakhapatnam,Iron Ore,193445,64615,195374,115.3,97.9,1.13,53,207557
2018-06-01,Paradip,Coal,266021,113109,254083,115.3,97.9,1.13,58,284199
2018-06-01,Paradip,Iron Ore,216378,94499,211963,115.3,97.9,1.13,52,227603
2018-06-01,Chennai,Coal,185222,57821,197010,115.3,97.9,1.13,45,200274
2018-06-01,Chennai,Iron Ore,150501,46056,152564,115.3,97.9,1.13,44,166373
2018-06-01,Kamarajar,Coal,183283,77891,180425,115.3,97.9,1.13,38,190218
2018-06-01,Kamarajar,Iron Ore,145985,64579,134267,115.3,97.9,1.13,43,157350
2018-06-01,Haldia,Coal,150420,65402,142230,115.3,97.9,1.13,41,155522
2018-06-01,Haldia,Iron Ore,110840,45873,97606,115.3,97.9,1.13,38,122137
2018-07-01,Visakhapatnam,Coal,229509,80860,241061,102.9,101.9,1.075,56,259798
2018-07-01,Visakhapatnam,Iron Ore,185851,63609,203564,102.9,101.9,1.075,48,209998
2018-07-01,Paradip,Coal,256829,81393,243030,102.9,101.9,1.075,60,286133
2018-07-01,Paradip,Iron Ore,206863,72925,190465,102.9,101.9,1.075,58,222352
2018-07-01,Chennai,Coal,183892,62127,175759,102.9,101.9,1.075,37,205947
2018-07-01,Chennai,Iron Ore,132800,50034,143948,102.9,101.9,1.075,37,145662
2018-07-01,Kamarajar,Coal,181433,69582,173809,102.9,101.9,1.075,46,204878
2018-07-01,Kamarajar,Iron Ore,147126,62271,136398,102.9,101.9,1.075,33,163378
2018-07-01,Haldia,Coal,135447,45323,136215,102.9,101.9,1.075,25,152212
2018-07-01,Haldia,Iron Ore,119134,36569,128665,102.9,101.9,1.075,34,133528
2018-08-01,Visakhapatnam,Coal,216817,85308,229763,106.9,99.8,1.0,47,234785
2018-08-01,Visakhapatnam,Iron Ore,182750,74267,198484,106.9,99.8,1.0,44,193788
2018-08-01,Paradip,Coal,238652,86524,244998,106.9,99.8,1.0,59,264885
2018-08-01,Paradip,Iron Ore,180233,67623,180585,106.9,99.8,1.0,51,198929
2018-08-01,Chennai,Coal,158918,66945,151210,106.9,99.8,1.0,41,175715
2018-08-01,Chennai,Iron Ore,145269,55260,157131,106.9,99.8,1.0,35,160336
2018-08-01,Kamarajar,Coal,169586,72380,164013,106.9,99.8,1.0,43,189126
2018-08-01,Kamarajar,Iron Ore,147240,62589,136069,106.9,99.8,1.0,38,154717
2018-08-01,Haldia,Coal,140593,56447,127160,106.9,99.8,1.0,26,154212
2018-08-01,Haldia,Iron Ore,105137,46818,111959,106.9,99.8,1.0,36,119263
2018-09-01,Visakhapatnam,Coal,203261,74470,192389,118.8,104.3,0.925,47,225354
2018-09-01,Visakhapatnam,Iron Ore,160113,49557,150485,118.8,104.3,0.925,53,180920
2018-09-01,Paradip,Coal,210712,66875,199345,118.8,104.3,0.925,56,245014
2018-09-01,Paradip,Iron Ore,171273,66959,170672,118.8,104.3,0.925,53,189750
2018-09-01,Chennai,Coal,148967,51795,157798,118.8,104.3,0.925,42,176106
2018-09-01,Chennai,Iron Ore,111745,37372,116913,118.8,104.3,0.925,38,125736
2018-09-01,Kamarajar,Coal,155357,53358,155469,118.8,104.3,0.925,40,175439
2018-09-01,Kamarajar,Iron Ore,102605,38261,88869,118.8,104.3,0.925,47,112266
2018-09-01,Haldia,Coal,114243,38574,102994,118.8,104.3,0.925,33,130856
2018-09-01,Haldia,Iron Ore,88801,35326,97557,118.8,104.3,0.925,25,108858
2018-10-01,Visakhapatnam,Coal,190088,78985,175365,108.4,101.7,0.87,53,209241
2018-10-01,Visakhapatnam,Iron Ore,146037,46547,154030,108.4,101.7,0.87,51,167584
2018-10-01,Paradip,Coal,210544,69667,201066,108.4,101.7,0.87,50,241147
2018-10-01,Paradip,Iron Ore,156330,54717,135651,108.4,101.7,0.87,54,171840
2018-10-01,Chennai,Coal,151726,46298,158853,108.4,101.7,0.87,40,167974
2018-10-01,Chennai,Iron Ore,132963,51096,114509,108.4,101.7,0.87,43,142859
2018-10-01,Kamarajar,Coal,162089,51859,141884,108.4,101.7,0.87,37,184068
2018-10-01,Kamarajar,Iron Ore,119071,45990,119380,108.4,101.7,0.87,35,137206
2018-10-01,Haldia,Coal,104451,33867,107378,108.4,101.7,0.87,27,117385
2018-10-01,Haldia,Iron Ore,90023,35236,97728,108.4,101.7,0.87,34,105303
2018-11-01,Visakhapatnam,Coal,181556,60559,169579,109.9,105.5,0.85,54,211892
2018-11-01,Visakhapatnam,Iron Ore,145631,51869,136354,109.9,105.5,0.85,51,170881
2018-11-01,Paradip,Coal,210903,84832,205130,109.9,105.5,0.85,56,239993
2018-11-01,Paradip,Iron Ore,138835,61864,151529,109.9,105.5,0.85,54,163328
2018-11-01,Chennai,Coal,149786,48219,127936,109.9,105.5,0.85,34,171830
2018-11-01,Chennai,Iron Ore,116750,43792,109867,109.9,105.5,0.85,39,136128
2018-11-01,Kamarajar,Coal,137770,61548,127221,109.9,105.5,0.85,39,150576
2018-11-01,Kamarajar,Iron Ore,94188,40747,91800,109.9,105.5,0.85,46,110455
2018-11-01,Haldia,Coal,110216,48756,119335,109.9,105.5,0.85,31,129129
2018-11-01,Haldia,Iron Ore,96985,37832,102913,109.9,105.5,0.85,30,108092
2018-12-01,Visakhapatnam,Coal,180503,57375,155756,111.2,99.8,0.87,46,196688
2018-12-01,Visakhapatnam,Iron Ore,146840,50631,127141,111.2,99.8,0.87,57,163069
2018-12-01,Paradip,Coal,196749,82962,202667,111.2,99.8,0.87,54,214145
2018-12-01,Paradip,Iron Ore,154042,50096,140513,111.2,99.8,0.87,57,174111
2018-12-01,Chennai,Coal,135025,57696,147401,111.2,99.8,0.87,34,147776
2018-12-01,Chennai,Iron Ore,119191,42493,119900,111.2,99.8,0.87,37,127626
2018-12-01,Kamarajar,Coal,135984,43877,144413,111.2,99.8,0.87,43,147189
2018-12-01,Kamarajar,Iron Ore,114910,35156,109303,111.2,99.8,0.87,37,119665
2018-12-01,Haldia,Coal,137550,52056,126373,111.2,99.8,0.87,26,140434
2018-12-01,Haldia,Iron Ore,92142,35184,97444,111.2,99.8,0.87,33,100697
2019-01-01,Visakhapatnam,Coal,217627,85746,238345,123.0,101.0,0.925,46,241310
2019-01-01,Visakhapatnam,Iron Ore,172119,75033,163812,123.0,101.0,0.925,50,193152
2019-01-01,Paradip,Coal,235937,79819,233084,123.0,101.0,0.925,56,264078
2019-01-01,Paradip,Iron Ore,158338,65166,138415,123.0,101.0,0.925,55,167279
2019-01-01,Chennai,Coal,154177,54159,163505,123.0,101.0,0.925,43,168895
2019-01-01,Chennai,Iron Ore,128725,48315,141106,123.0,101.0,0.925,38,146497
2019-01-01,Kamarajar,Coal,143961,54713,134419,123.0,101.0,0.925,34,155234
2019-01-01,Kamarajar,Iron Ore,129435,42968,118447,123.0,101.0,0.925,41,146088
2019-01-01,Haldia,Coal,120278,44577,114363,123.0,101.0,0.925,29,132515
2019-01-01,Haldia,Iron Ore,108487,44631,100138,123.0,101.0,0.925,26,117984
2019-02-01,Visakhapatnam,Coal,229554,71861,216761,114.9,106.3,1.0,56,272289
2019-02-01,Visakhapatnam,Iron Ore,177825,59627,167167,114.9,106.3,1.0,47,206587
2019-02-01,Paradip,Coal,239832,107671,254379,114.9,106.3,1.0,57,274003
