id,name,imo,type,dwt,built_year,current_position,lat,lng,eta,charter_rate,charter_rate_per_day,fuel_consumption,availability,route,port_compatibility
V001,MV Ocean Star,IMO 9741234,Panamax,82000,2018,Bay of Bengal,14.2,85.1,2026-09-18,890000,28500,24.5,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai,Kamarajar"
V002,MV Southern Cross,IMO 9823451,Panamax,78500,2020,Indian Ocean,8.5,82.4,2026-09-20,860000,27800,23.8,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai"
V003,MV Bengal Pioneer,IMO 9654321,Supramax,58000,2016,Malacca Strait,3.1,100.2,2026-09-23,680000,22500,20.2,Available,Indonesia → Paradip,"Visakhapatnam,Paradip,Chennai,Haldia,Kamarajar"
V004,MV Iron Pacific,IMO 9912876,Capesize,181000,2021,West Australia,-20.1,116.5,2026-09-28,1950000,48000,42.0,Reserved,Australia → Visakhapatnam,"Visakhapatnam,Paradip"
V005,MV Eastern Glory,IMO 9789123,Panamax,81200,2019,Arabian Sea,18.9,71.2,2026-09-22,875000,28000,24.1,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai,Kamarajar"
V006,MV Andhra Express,IMO 9645129,Supramax,55500,2015,Off Visakhapatnam,17.4,83.8,2026-09-15,640000,21000,19.8,In Transit,Indonesia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai,Haldia"
V007,MV Maritime Voyager,IMO 9812456,Capesize,179000,2020,South China Sea,12.3,114.2,2026-10-02,1890000,46500,41.5,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip"
V008,MV Kalinga Pride,IMO 9723891,Panamax,76800,2017,Bay of Bengal,16.5,86.2,2026-09-19,845000,27200,23.5,Available,Australia → Paradip,"Visakhapatnam,Paradip,Chennai"
V009,MV Coromandel Star,IMO 9698712,Supramax,56400,2016,Gulf of Mannar,8.8,79.1,2026-09-25,660000,21800,20.0,Available,Indonesia → Paradip,"Visakhapatnam,Paradip,Chennai,Haldia"
V010,MV Global Trader,IMO 9587412,Panamax,79500,2014,Sunda Strait,-6.1,105.8,2026-09-27,820000,26500,24.8,Unavailable,Australia → Chennai,"Visakhapatnam,Chennai"
V011,MV Vizag Splendor,IMO 9845621,Capesize,182500,2022,Indian Ocean,-2.4,88.1,2026-10-05,1980000,49000,42.5,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip"
V012,MV Singapore Breeze,IMO 9734125,Panamax,80500,2018,Singapore Anchorage,1.3,103.8,2026-09-24,880000,28200,24.0,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai,Kamarajar"
V013,MV Chennai Mariner,IMO 9621458,Supramax,57200,2015,Andaman Sea,11.5,93.2,2026-09-26,670000,22000,20.1,Available,Indonesia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai,Haldia"
V014,MV Pacific Titan,IMO 9901452,Capesize,180000,2021,Dampier,-20.6,116.7,2026-10-04,1920000,47500,41.8,Reserved,Australia → Paradip,"Visakhapatnam,Paradip"
V015,MV Austral Leader,IMO 9765123,Panamax,82500,2019,Port Hedland,-20.3,118.6,2026-09-21,905000,29000,24.6,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai,Kamarajar"
V016,MV Sagar Ratna,IMO 9687452,Panamax,77000,2017,Bay of Bengal,15.1,84.6,2026-09-20,850000,27400,23.7,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai"
V017,MV Sunda Wave,IMO 9598741,Supramax,54000,2014,Java Sea,-5.5,110.2,2026-09-29,630000,20500,19.6,Available,Indonesia → Paradip,"Visakhapatnam,Paradip,Chennai,Haldia"
V018,MV Bharat Jyoti,IMO 9874512,Capesize,178500,2020,Indian Ocean,5.2,84.1,2026-10-01,1880000,46000,41.2,In Transit,Australia → Visakhapatnam,"Visakhapatnam,Paradip"
V019,MV Jakarta Trader,IMO 9712458,Panamax,78000,2018,Malacca Strait,2.8,101.4,2026-09-25,865000,27900,23.9,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai"
V020,MV Ganga Fortune,IMO 9632587,Supramax,58500,2016,Bay of Bengal,18.1,87.4,2026-09-17,690000,22800,20.4,Available,Indonesia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai,Haldia,Kamarajar"
V021,MV Indian Victor,IMO 9798541,Panamax,81000,2019,Sri Lanka Coast,6.1,80.8,2026-09-19,885000,28400,24.2,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai,Kamarajar"
V022,MV Oceanic Beacon,IMO 9856321,Capesize,183000,2022,Timor Sea,-11.2,126.5,2026-10-06,1990000,49200,42.8,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip"
V023,MV Bay Navigator,IMO 9754129,Handysize,35000,2017,Bay of Bengal,16.2,84.5,2026-09-18,420000,14500,15.2,Available,Australia → Visakhapatnam,"Visakhapatnam,Paradip,Chennai,Haldia,Kamarajar"
V024,MV Hooghly Express,IMO 9811234,Handysize,32000,2019,Malacca Strait,3.8,99.5,2026-09-19,390000,13800,14.8,Available,Indonesia → Haldia,"Visakhapatnam,Paradip,Chennai,Haldia,Kamarajar"
V025,MV Kakinada Pioneer,IMO 9877654,Handysize,38000,2021,Andaman Sea,10.1,92.8,2026-09-21,450000,15200,16.0,Available,Australia → Paradip,"Visakhapatnam,Paradip,Chennai,Haldia,Kamarajar"
